#L=0 M=0
#R     Re(V)   Im(V)

0.08046609183  -86.76706283  0
0.2612261349  -25.84109136  0
0.5220750502  -12.40285134  0
0.8347210423  -7.526869394  0
1.165278958  -5.385419773  0
1.47792495  -4.374282669  0
1.738773865  -3.89195977  0
1.919533908  -3.673238175  0
2  -3.597770361  0
2.080466092  -3.362529571  0
2.261226135  -2.912124329  0
2.52207505  -2.411615147  0
2.834721042  -1.977435589  0
3.165278958  -1.652490629  0
3.47792495  -1.431873955  0
3.738773865  -1.293666575  0
3.919533908  -1.216506684  0
4  -1.186232859  0
4.080466092  -1.145082016  0
4.261226135  -1.061689482  0
4.52207505  -0.9600943935  0
4.834721042  -0.8614427747  0
5.165278958  -0.7779917684  0
5.47792495  -0.7139366023  0
5.738773865  -0.6690284828  0
5.919533908  -0.6415975714  0
6  -0.6302289893  0
6.080466092  -0.6193342889  0
6.261226135  -0.5964425059  0
6.52207505  -0.5667935579  0
6.834721042  -0.5356396785  0
7.165278958  -0.5069031136  0
7.47792495  -0.4829323913  0
7.738773865  -0.4649029018  0
7.919533908  -0.4533116871  0
8  -0.4483666175  0
8.080466092  -0.4435456875  0
8.261226135  -0.4331414899  0
8.52207505  -0.4190755217  0
8.834721042  -0.4035172073  0
9.165278958  -0.3884042968  0
9.47792495  -0.3752069837  0
9.738773865  -0.3649149705  0
9.919533908  -0.358130007  0
10  -0.3551951667  0
10.08046609  -0.352310835  0
10.26122613  -0.3460082354  0
10.52207505  -0.3373190994  0
10.83472104  -0.327485169  0
11.16527896  -0.3177126813  0
11.47792495  -0.3090056062  0
11.73877387  -0.3021058982  0
11.91953391  -0.2975059143  0
12  -0.2955037147  0
12.08046609  -0.293528699  0
12.26122613  -0.289188181  0
12.52207505  -0.2831488082  0
12.83472104  -0.2762377414  0
13.16527896  -0.2692913371  0
13.47792495  -0.2630373736  0
13.73877387  -0.2580387139  0
13.91953391  -0.2546852732  0
14  -0.2532204575  0
14.08046609  -0.2517724547  0
14.26122613  -0.2485794551  0
14.52207505  -0.2441123297  0
14.83472104  -0.2389657176  0
15.16527896  -0.233755538  0
15.47792495  -0.2290328106  0
15.73877387  -0.2252362816  0
15.91953391  -0.2226784673  0
16  -0.2215584531  0
16.08046609  -0.2204496576  0
16.26122613  -0.2179988904  0
16.52207505  -0.2145568614  0
16.83472104  -0.2105719636  0
17.16527896  -0.206516708  0
17.47792495  -0.2028223924  0
17.73877387  -0.199839802  0
17.91953391  -0.1978239074  0
18  -0.1969395492  0
18.08046609  -0.1960630639  0
18.26122613  -0.1941222864  0
18.52207505  -0.1913883971  0
18.83472104  -0.1882114204  0
19.16527896  -0.1849651704  0
19.47792495  -0.1819962209  0
19.73877387  -0.17959112  0
19.91953391  -0.1779614119  0
20  -0.1772454165  0
20.08046609  -0.1765351594  0
20.26122613  -0.1749602007  0
20.52207505  -0.1727363376  0
20.83472104  -0.17014425  0
21.16527896  -0.1674869448  0
21.47792495  -0.1650488985  0
21.73877387  -0.1630684345  0
21.91953391  -0.1617236852  0
22  -0.1611321725  0
22.08046609  -0.160544971  0
22.26122613  -0.1592413532  0
22.52207505  -0.1573970316  0
22.83472104  -0.1552419991  0
23.16527896  -0.1530267664  0
23.47792495  -0.1509889708  0
23.73877387  -0.1493298575  0
23.91953391  -0.1482013709  0
24  -0.1477044881  0
24.08046609  -0.1472109261  0
24.26122613  -0.1461141202  0
24.52207505  -0.1445598589  0
24.83472104  -0.142739985  0
25.16527896  -0.1408650273  0
25.47792495  -0.1391364372  0
25.73877387  -0.1377263627  0
25.91953391  -0.1367658738  0
26  -0.136342604  0
26.08046609  -0.135921946  0
26.26122613  -0.1349863744  0
26.52207505  -0.1336587615  0
26.83472104  -0.1321015298  0
