#L=3 M=1
#R     Re(V)   Im(V)

0.08046609183  -2.703354937e-05  1.865482256e-05
0.2612261349  -0.0009254672229  0.0006383778053
0.5220750502  -0.007401433467  0.005098866209
0.8347210423  -0.03036414836  0.02086397133
1.165278958  -0.08306248894  0.0568588994
1.47792495  -0.170523349  0.11622849
1.738773865  -0.2792526449  0.1896076831
1.919533908  -0.3771783079  0.2554199542
2  -0.4271152371  0.2890634859
2.080466092  -0.363643179  0.2467666089
2.261226135  -0.2581596821  0.1767421083
2.52207505  -0.1643052192  0.1144294156
2.834721042  -0.1012741686  0.07256755849
3.165278958  -0.06485565172  0.04843126637
3.47792495  -0.0456515016  0.03585643735
3.738773865  -0.03630827006  0.02994758121
3.919533908  -0.03224051742  0.02754642536
4  -0.03092508091  0.02683376135
4.080466092  -0.02794472538  0.0243852401
4.261226135  -0.02230770761  0.01972697919
4.52207505  -0.01619582668  0.0146243408
4.834721042  -0.01110175759  0.0103109044
5.165278958  -0.007486802666  0.007196493535
5.47792495  -0.005175243475  0.005166274691
5.738773865  -0.003808414302  0.00394248796
5.919533908  -0.003080124338  0.003279629406
6  -0.002802387142  0.00302418816
6.080466092  -0.002549571142  0.002790120899
6.261226135  -0.002061053269  0.002332791122
6.52207505  -0.001514250349  0.001810409487
6.834721042  -0.001042749566  0.001346419127
7.165278958  -0.000698163644  0.0009940254291
7.47792495  -0.0004731050846  0.0007532456893
7.738773865  -0.0003383714745  0.0006021658407
7.919533908  -0.000266192258  0.0005178155024
8  -0.0002386256957  0.0004847241834
8.080466092  -0.0002135277375  0.0004540721517
8.261226135  -0.0001650699774  0.0003931378965
8.52207505  -0.0001110693265  0.0003214435457
8.834721042  -6.506514119e-05  0.0002551963105
9.165278958  -3.223580972e-05  0.0002024997635
9.47792495  -1.159017278e-05  0.0001646901239
9.738773865  1.688411795e-07  0.000139845739
9.919533908  6.145195804e-06  0.0001254473516
10  8.340510778e-06  0.0001196683117
10.08046609  1.028561844e-05  0.0001142390398
10.26122613  1.385716684e-05  0.0001031941955
10.52207505  1.742559918e-05  8.966571715e-05
10.83472104  1.987996753e-05  7.64659809e-05
11.16527896  2.099137291e-05  6.527602589e-05
11.47792495  2.111923711e-05  5.670029429e-05
11.73877387  2.077631983e-05  5.071640522e-05
11.91953391  2.037530222e-05  4.708269973e-05
12  2.016458154e-05  4.558332642e-05
12.08046609  1.99376429e-05  4.415081186e-05
12.26122613  1.93799634e-05  4.115721209e-05
12.52207505  1.849328134e-05  3.732114384e-05
12.83472104  1.736355055e-05  3.33562941e-05
13.16527896  1.615011968e-05  2.977791084e-05
13.47792495  1.502409147e-05  2.686644574e-05
13.73877387  1.411821405e-05  2.472964728e-05
13.91953391  1.351325425e-05  2.338332116e-05
14  1.325053227e-05  2.281602378e-05
14.08046609  1.299202594e-05  2.22672387e-05
14.26122613  1.242709877e-05  2.109789379e-05
14.52207505  1.165128221e-05  1.955161978e-05
14.83472104  1.078324096e-05  1.789135239e-05
15.16527896  9.937416064e-06  1.633306437e-05
15.47792495  9.202596921e-06  1.501932796e-05
15.73877387  8.635348219e-06  1.40269513e-05
15.91953391  8.265402429e-06  1.338875421e-05
16  8.106563529e-06  1.311674224e-05
16.08046609  7.951223393e-06  1.285182341e-05
16.26122613  7.614653076e-06  1.228137586e-05
16.52207505  7.157811962e-06  1.151424588e-05
16.83472104  6.652157459e-06  1.067372315e-05
17.16527896  6.163125441e-06  9.868301677e-06
17.47792495  5.739864133e-06  9.176328729e-06
17.73877387  5.413421455e-06  8.645468192e-06
17.91953391  5.20040841e-06  8.300247667e-06
18  5.108881659e-06  8.152178392e-06
18.08046609  5.019316813e-06  8.007428652e-06
18.26122613  4.825028378e-06  7.693900342e-06
18.52207505  4.560652726e-06  7.268224483e-06
18.83472104  4.26685413e-06  6.796322497e-06
19.16527896  3.981205138e-06  6.338516005e-06
19.47792495  3.732502767e-06  5.940616209e-06
19.73877387  3.539596783e-06  5.632368363e-06
19.91953391  3.413144832e-06  5.430468788e-06
20  3.358661421e-06  5.343513633e-06
20.08046609  3.305254709e-06  5.258296646e-06
20.26122613  3.189079177e-06  5.072988128e-06
20.52207505  3.030240683e-06  4.819758913e-06
20.83472104  2.852619527e-06  4.536741888e-06
21.16527896  2.678706057e-06  4.259769858e-06
21.47792495  2.526219195e-06  4.017016148e-06
21.73877387  2.407203778e-06  3.827600127e-06
21.91953391  2.328815771e-06  3.702865517e-06
22  2.294946751e-06  3.648976455e-06
22.08046609  2.261690351e-06  3.596064829e-06
22.26122613  2.189149052e-06  3.48065882e-06
22.52207505  2.08951148e-06  3.322163069e-06
22.83472104  1.977433488e-06  3.143899453e-06
23.16527896  1.866980362e-06  2.968239005e-06
23.47792495  1.769517199e-06  2.813250234e-06
23.73877387  1.693023373e-06  2.691614664e-06
23.91953391  1.642429184e-06  2.611166019e-06
24  1.620515179e-06  2.576321734e-06
24.08046609  1.598965319e-06  2.542056825e-06
24.26122613  1.551846218e-06  2.467137259e-06
24.52207505  1.486866846e-06  2.363822211e-06
24.83472104  1.413399755e-06  2.247014892e-06
25.16527896  1.3405905e-06  2.131256047e-06
25.47792495  1.275991032e-06  2.028551643e-06
25.73877387  1.225047371e-06  1.947559096e-06
25.91953391  1.191230527e-06  1.893795949e-06
26  1.176552413e-06  1.870460284e-06
26.08046609  1.162099663e-06  1.847482959e-06
26.26122613  1.130433373e-06  1.797139302e-06
26.52207505  1.086613778e-06  1.727474424e-06
26.83472104  1.036852765e-06  1.648364211e-06
27.16527896  9.872995379e-07  1.569584688e-06
27.47792495  9.4312663e-07  1.499359015e-06
27.73877387  9.081483202e-07  1.44375096e-06
27.91953391  8.848572576e-07  1.406723192e-06
28  8.747294867e-07  1.390622233e-06
28.08046609  8.647461985e-07  1.374750976e-06
28.26122613  8.428338038e-07  1.339915056e-06
28.52207505  8.124217021e-07  1.291566505e-06
28.83472104  7.777553603e-07  1.236454701e-06
29.16527896  7.430901826e-07  1.181344797e-06
29.47792495  7.120630504e-07  1.132018606e-06
29.73877387  6.874068677e-07  1.092820816e-06
29.91953391  6.709448359e-07  1.066649892e-06
30  6.637753098e-07  1.055251962e-06
30.08046609  6.567012924e-07  1.04400587e-06
30.26122613  6.411505791e-07  1.019283746e-06
30.52207505  6.195122619e-07  9.84883712e-07
30.83472104  5.947658746e-07  9.455425565e-07
31.16527896  5.69930723e-07  9.060602925e-07
31.47792495  5.476231071e-07  8.705962419e-07
31.73877387  5.298410099e-07  8.423267424e-07
31.91953391  5.179406376e-07  8.234078518e-07
32  5.127506727e-07  8.15156986e-07
32.08046609  5.076255522e-07  8.07009208e-07
32.26122613  4.963438858e-07  7.890739206e-07
32.52207505  4.806104001e-07  7.640612523e-07
32.83472104  4.62565068e-07  7.353732744e-07
33.16527896  4.443974305e-07  7.064908595e-07
33.47792495  4.280278546e-07  6.804669546e-07
33.73877387  4.149435106e-07  6.59665822e-07
33.91953391  4.061688891e-07  6.457161685e-07
34  4.023374794e-07  6.396250983e-07
34.08046609  3.985511407e-07  6.336056806e-07
34.26122613  3.902065488e-07  6.203396765e-07
34.52207505  3.785459377e-07  6.018019562e-07
34.83472104  3.651378143e-07  5.804860887e-07
35.16527896  3.516008305e-07  5.589653625e-07
35.47792495  3.393698975e-07  5.395209604e-07
35.73877387  3.295699195e-07  5.239412238e-07
35.91953391  3.229857706e-07  5.134739243e-07
36  3.201077266e-07  5.088984888e-07
36.08046609  3.172616682e-07  5.043739031e-07
36.26122613  3.109826925e-07  4.943917596e-07
36.52207505  3.021929873e-07  4.804181272e-07
36.83472104  2.920630522e-07  4.64313834e-07
37.16527896  2.818101121e-07  4.480139908e-07
37.47792495  2.725235337e-07  4.33250443e-07
37.73877387  2.650666059e-07  4.213956236e-07
37.91953391  2.600484073e-07  4.134178291e-07
38  2.578527538e-07  4.099272393e-07
38.08046609  2.556802245e-07  4.064734117e-07
38.26122613  2.508826489e-07  3.988463575e-07
38.52207505  2.441560377e-07  3.881525755e-07
38.83472104  2.363879862e-07  3.758031402e-07
39.16527896  2.285079234e-07  3.632756324e-07
39.47792495  2.213547735e-07  3.519037508e-07
39.73877387  2.155997778e-07  3.427546163e-07
39.91953391  2.117211834e-07  3.365885332e-07
40  2.100226795e-07  3.338882984e-07
40.08046609  2.083411741e-07  3.312150872e-07
40.26122613  2.04624755e-07  3.25306826e-07
40.52207505  1.994065658e-07  3.170110918e-07
40.83472104  1.933694171e-07  3.074133982e-07
41.16527896  1.872327902e-07  2.976575571e-07
41.47792495  1.816511178e-07  2.887839673e-07
41.73877387  1.771525519e-07  2.816322706e-07
41.91953391  1.741166808e-07  2.768059259e-07
42  1.727861782e-07  2.746907294e-07
42.08046609  1.714683601e-07  2.725956983e-07
42.26122613  1.685535049e-07  2.679617414e-07
42.52207505  1.644554846e-07  2.61446821e-07
42.83472104  1.597064252e-07  2.538968966e-07
43.16527896  1.548702334e-07  2.462084514e-07
43.47792495  1.50463419e-07  2.392026188e-07
43.73877387  1.469060709e-07  2.335472443e-07
43.91953391  1.445024698e-07  2.297260652e-07
44  1.434483161e-07  2.280502004e-07
44.08046609  1.424037574e-07  2.263895897e-07
44.26122613  1.400916975e-07  2.227139402e-07
44.52207505  1.368373235e-07  2.175402256e-07
44.83472104  1.330602308e-07  2.115355073e-07
45.16527896  1.292073956e-07  2.054103755e-07
45.47792495  1.256908311e-07  1.998198376e-07
45.73877387  1.228479993e-07  1.953003815e-07
45.91953391  1.209250499e-07  1.922433294e-07
46  1.200811487e-07  1.909017183e-07
46.08046609  1.192445963e-07  1.895717902e-07
46.26122613  1.17391757e-07  1.866261972e-07
46.52207505  1.147809593e-07  1.824756225e-07
46.83472104  1.117466234e-07  1.776517185e-07
47.16527896  1.086466978e-07  1.727235417e-07
47.47792495  1.058130522e-07  1.682186897e-07
47.73877387  1.035192506e-07  1.645720667e-07
47.91953391  1.019661025e-07  1.621029145e-07
48  1.012840854e-07  1.610186624e-07
48.08046609  1.00607761e-07  1.599434604e-07
48.26122613  9.910892247e-08  1.57560648e-07
48.52207505  9.69948553e-08  1.54199762e-07
48.83472104  9.453471416e-08  1.50288697e-07
49.16527896  9.201786019e-08  1.462874716e-07
49.47792495  8.971400615e-08  1.426248676e-07
49.73877387  8.784678262e-08  1.396564068e-07
49.91953391  8.658129422e-08  1.37644568e-07
50  8.602528954e-08  1.36760647e-07
50.08046609  8.547374087e-08  1.358838101e-07
50.26122613  8.425076325e-08  1.339395538e-07
50.52207505  8.252422258e-08  1.311947468e-07
