#L=8 M=-7
#R     Re(V)   Im(V)

0.08046609183  -9.248835496e-16  -1.061150045e-17
0.2612261349  -2.527765677e-12  2.527711207e-12
0.5220750502  -6.45658142e-10  6.456582182e-10
0.8347210423  -2.777152366e-08  2.777152361e-08
1.165278958  -4.05017781e-07  4.05017781e-07
1.47792495  -2.74802571e-06  2.74802571e-06
1.738773865  -1.021846847e-05  1.021846847e-05
1.919533908  -2.276660499e-05  2.276660499e-05
2  -3.176661074e-05  3.176661074e-05
2.080466092  -4.375869869e-05  4.375869869e-05
2.261226135  -8.615729086e-05  8.615729086e-05
2.52207505  -0.0002097873951  0.0002097873951
2.834721042  -0.0005453355262  0.0005453355262
3.165278958  -0.001346557822  0.001346557822
3.47792495  -0.002916811642  0.002916811642
3.738773865  -0.005279052212  0.005279052212
3.919533908  -0.007771351051  0.007771351051
4  -0.009176121211  0.009176121211
4.080466092  -0.007628182944  0.007628182944
4.261226135  -0.005087139851  0.005087139851
4.52207505  -0.002896836554  0.002896836554
4.834721042  -0.001517270817  0.001517270817
5.165278958  -0.0007866300644  0.0007866300644
5.47792495  -0.0004309367721  0.0004309367721
5.738773865  -0.0002636235773  0.0002636235773
5.919533908  -0.00018828394  0.00018828394
6  -0.0001622035813  0.0001622035813
6.080466092  -0.0001397793925  0.0001397793925
6.261226135  -0.0001001270536  0.0001001270536
6.52207505  -6.182578002e-05  6.182578002e-05
6.834721042  -3.445226765e-05  3.445226765e-05
7.165278958  -1.820634323e-05  1.820634323e-05
7.47792495  -9.600012748e-06  9.600012748e-06
7.738773865  -5.34767123e-06  5.34767123e-06
7.919533908  -3.396151897e-06  3.396151897e-06
8  -2.718995791e-06  2.718995791e-06
8.080466092  -2.138205635e-06  2.138205635e-06
8.261226135  -1.12202017e-06  1.12202017e-06
8.52207505  -1.776137296e-07  1.776137296e-07
8.834721042  4.304665866e-07  -4.304665866e-07
9.165278958  7.121912001e-07  -7.121912001e-07
9.47792495  7.917482577e-07  -7.917482577e-07
9.738773865  7.831231633e-07  -7.831231633e-07
9.919533908  7.546348188e-07  -7.546348188e-07
10  7.381901842e-07  -7.381901842e-07
10.08046609  7.200833843e-07  -7.200833843e-07
10.26122613  6.752158244e-07  -6.752158244e-07
10.52207505  6.054782555e-07  -6.054782555e-07
10.83472104  5.219262123e-07  -5.219262123e-07
11.16527896  4.397603097e-07  -4.397603097e-07
11.47792495  3.70620833e-07  -3.70620833e-07
11.73877387  3.198663801e-07  -3.198663801e-07
11.91953391  2.883325578e-07  -2.883325578e-07
12  2.752168701e-07  -2.752168701e-07
12.08046609  2.62649996e-07  -2.62649996e-07
12.26122613  2.363426433e-07  -2.363426433e-07
12.52207505  2.02758326e-07  -2.02758326e-07
12.83472104  1.685958781e-07  -1.685958781e-07
13.16527896  1.386917838e-07  -1.386917838e-07
13.47792495  1.153577614e-07  -1.153577614e-07
13.73877387  9.899013009e-08  -9.899013009e-08
13.91953391  8.90740157e-08  -8.90740157e-08
14  8.499793868e-08  -8.499793868e-08
14.08046609  8.111625693e-08  -8.111625693e-08
14.26122613  7.305804722e-08  -7.305804722e-08
14.52207505  6.288201224e-08  -6.288201224e-08
14.83472104  5.262385528e-08  -5.262385528e-08
15.16527896  4.368659114e-08  -4.368659114e-08
15.47792495  3.67145574e-08  -3.67145574e-08
15.73877387  3.181048779e-08  -3.181048779e-08
15.91953391  2.882843579e-08  -2.882843579e-08
16  2.759929262e-08  -2.759929262e-08
16.08046609  2.642659102e-08  -2.642659102e-08
16.26122613  2.398414505e-08  -2.398414505e-08
16.52207505  2.088066928e-08  -2.088066928e-08
16.83472104  1.772357265e-08  -1.772357265e-08
17.16527896  1.494148982e-08  -1.494148982e-08
17.47792495  1.274406381e-08  -1.274406381e-08
17.73877387  1.118014246e-08  -1.118014246e-08
17.91953391  1.022017087e-08  -1.022017087e-08
18  9.82223284e-09  -9.82223284e-09
18.08046609  9.441233116e-09  -9.441233116e-09
18.26122613  8.643171276e-09  -8.643171276e-09
18.52207505  7.6191643e-09  -7.6191643e-09
18.83472104  6.563943878e-09  -6.563943878e-09
19.16527896  5.620327649e-09  -5.620327649e-09
19.47792495  4.863897981e-09  -4.863897981e-09
19.73877387  4.318359134e-09  -4.318359134e-09
19.91953391  3.980057025e-09  -3.980057025e-09
20  3.838971229e-09  -3.838971229e-09
20.08046609  3.703392955e-09  -3.703392955e-09
20.26122613  3.417721895e-09  -3.417721895e-09
20.52207505  3.047505704e-09  -3.047505704e-09
20.83472104  2.661068856e-09  -2.661068856e-09
21.16527896  2.310527988e-09  -2.310527988e-09
21.47792495  2.025524007e-09  -2.025524007e-09
21.73877387  1.817403383e-09  -1.817403383e-09
21.91953391  1.687113496e-09  -1.687113496e-09
22  1.632474325e-09  -1.632474325e-09
22.08046609  1.579790531e-09  -1.579790531e-09
22.26122613  1.468181718e-09  -1.468181718e-09
