
Host: ezak

Timers On : Tue Sep 14 10:23:45 2021
Timers Off: Tue Sep 14 10:24:22 2021

Wall Time:       37.28 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      2.483u      0.100s      1.547w     20 calls
HF: Form core H                     :      0.017u      0.000s      0.022w     47 calls
HF: Form S/X                        :      0.067u      0.000s      0.011w     47 calls
HF: Guess                           :      6.783u      0.017s      4.106w     47 calls
SAD Guess                           :      6.267u      0.017s      3.794w     32 calls
HF: Form G                          :     15.333u      0.183s      9.308w    481 calls
JK: D                               :      0.000u      0.000s      0.005w    529 calls
JK: USO2AO                          :      0.083u      0.000s      0.026w    456 calls
JK: JK                              :     14.083u      0.150s      8.598w    529 calls
PK computes JK                      :      0.283u      0.000s      0.181w    204 calls
DFH: compute_JK()                   :      1.667u      0.033s      1.048w    155 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    155 calls
DFH: compute_J                      :      0.383u      0.033s      0.253w    155 calls
DFH: compute_K                      :      1.283u      0.000s      0.793w    155 calls
JK: J                               :      0.083u      0.000s      0.053w     45 calls
JK: J1                              :      0.017u      0.000s      0.025w     45 calls
JK: J2                              :      0.067u      0.000s      0.027w     45 calls
JK: K                               :      0.850u      0.017s      0.507w     45 calls
JK: K1                              :      0.717u      0.017s      0.438w     45 calls
JK: K2                              :      0.133u      0.000s      0.068w     45 calls
JK: AO2USO                          :      0.017u      0.017s      0.029w    456 calls
UV: Form V                          :      1.067u      0.017s      0.641w      8 calls
Properties                          :      0.200u      0.000s      0.149w   4584 calls
Functional                          :      0.517u      0.000s      0.298w   4584 calls
V_xc                                :      0.317u      0.017s      0.179w   4584 calls
HF: Form F                          :      0.017u      0.000s      0.017w    481 calls
HF: Form D                          :      0.000u      0.000s      0.004w    481 calls
HF: DIIS                            :      0.400u      0.000s      0.261w    449 calls
DIISManager::add_entry              :      0.033u      0.000s      0.030w    447 calls
DIISManager::extrapolate            :      0.133u      0.000s      0.059w    447 calls
bMatrix setup                       :      0.050u      0.000s      0.025w    447 calls
bMatrix pseudoinverse               :      0.033u      0.000s      0.013w    447 calls
New vector                          :      0.050u      0.000s      0.019w    447 calls
HF: Form C                          :      0.267u      0.000s      0.111w    449 calls
DFH: sparsity prep                  :      0.383u      0.000s      0.230w     13 calls
DFH: initialize()                   :      2.883u      0.100s      1.826w     13 calls
DFH: AO Construction                :      1.333u      0.000s      0.807w     13 calls
DFH: AO-Met. Contraction            :      0.483u      0.083s      0.360w     13 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      1 calls
Grad: S                             :      0.017u      0.000s      0.000w      1 calls
Grad: JK                            :      0.100u      0.000s      0.084w      1 calls
JKGrad: Amn                         :      0.000u      0.000s      0.011w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      0.033u      0.000s      0.021w      1 calls
